Loading repository data...
Reading installed packages...
S | Repository         | Name                              | Current Version       | Available Version         | Arch  
v | SLES11-SP1-Updates | glibc-i18ndata                    | 2.11.1-0.20.1         | 2.11.1-0.34.1             | x86_64
v | SLES11-SP1-Updates | glibc-info                        | 2.11.1-0.20.1         | 2.11.1-0.34.1             | x86_64
v | SLES11-SP1-Updates | glibc-locale                      | 2.11.1-0.20.1         | 2.11.1-0.34.1             | x86_64
v | SLES11-SP1-Updates | glibc-locale-32bit                | 2.11.1-0.20.1         | 2.11.1-0.34.1             | x86_64
v | SLES11-SP1-Updates | gnome-control-center              | 2.28.1-0.9.1          | 2.28.1-0.15.25            | x86_64
v | SLES11-SP1-Updates | gnome-control-center-lang         | 2.28.1-0.9.1          | 2.28.1-0.15.25            | x86_64
v | SLES11-SP1-Updates | gnome-desktop                     | 2.28.2-0.3.22         | 2.28.2-0.6.18             | x86_64
v | SLES11-SP1-Updates | gnome-desktop-lang                | 2.28.2-0.3.22         | 2.28.2-0.6.18             | x86_64
v | SLES11-SP1-Updates | gnome-media                       | 2.28.5-1.2.97         | 2.28.5-1.7.8              | x86_64
v | SLES11-SP1-Updates | gnome-media-lang                  | 2.28.5-1.2.97         | 2.28.5-1.7.8              | x86_64
v | SLES11-SP1-Updates | gnome-packagekit                  | 0.3.14-2.76.59        | 0.3.14-2.82.1             | x86_64
v | SLES11-SP1-Updates | gnome-packagekit-lang             | 0.3.14-2.76.59        | 0.3.14-2.82.1             | x86_64
v | SLES11-SP1-Updates | gnome-panel                       | 2.28.0-2.4.49         | 2.28.0-2.6.4              | x86_64
v | SLES11-SP1-Updates | gnome-panel-32bit                 | 2.28.0-2.4.49         | 2.28.0-2.6.4              | x86_64
v | SLES11-SP1-Updates | gnome-panel-lang                  | 2.28.0-2.4.49         | 2.28.0-2.6.4              | x86_64
v | SLES11-SP1-Updates | gnome-power-manager               | 2.24.1-17.36.1        | 2.24.1-17.52.2            | x86_64
v | SLES11-SP1-Updates | gnome-power-manager-lang          | 2.24.1-17.36.1        | 2.24.1-17.52.2            | x86_64
v | SLES11-SP1-Updates | gnome-screensaver                 | 2.28.3-0.4.30         | 2.28.3-0.28.1             | x86_64
v | SLES11-SP1-Updates | gnome-screensaver-lang            | 2.28.3-0.4.30         | 2.28.3-0.28.1             | x86_64
v | SLES11-SP1-Updates | gnome-settings-daemon             | 2.28.2-0.25.2         | 2.28.2-0.33.2             | x86_64
v | SLES11-SP1-Updates | gnome-settings-daemon-lang        | 2.28.2-0.25.2         | 2.28.2-0.33.2             | x86_64
v | SLES11-SP1-Updates | gnome-system-monitor              | 2.28.0-1.3.26         | 2.28.0-1.7.1              | x86_64
v | SLES11-SP1-Updates | gnome-system-monitor-lang         | 2.28.0-1.3.26         | 2.28.0-1.7.1              | x86_64
v | SLES11-SP1-Updates | gok                               | 2.28.1-0.1.136        | 2.28.1-0.3.51             | x86_64
v | SLES11-SP1-Updates | gok-lang                          | 2.28.1-0.1.136        | 2.28.1-0.3.51             | x86_64
v | SLES11-SP1-Updates | gpg2                              | 2.0.9-25.26.1         | 2.0.9-25.33.27.1          | x86_64
v | SLES11-SP1-Updates | gpg2-lang                         | 2.0.9-25.26.1         | 2.0.9-25.33.27.1          | x86_64
v | SLES11-SP1-Updates | grub                              | 0.97-162.10.1         | 0.97-162.13.12.1          | x86_64
v | SLES11-SP1-Updates | gtk2                              | 2.18.9-0.5.1          | 2.18.9-0.16.1             | x86_64
v | SLES11-SP1-Updates | gtk2-32bit                        | 2.18.9-0.5.1          | 2.18.9-0.16.1             | x86_64
v | SLES11-SP1-Updates | gtk2-lang                         | 2.18.9-0.5.1          | 2.18.9-0.16.1             | x86_64
v | SLES11-SP1-Updates | gvfs                              | 1.4.3-0.3.13          | 1.4.3-0.13.1              | x86_64
v | SLES11-SP1-Updates | gvfs-backends                     | 1.4.3-0.3.13          | 1.4.3-0.13.1              | x86_64
v | SLES11-SP1-Updates | gvfs-fuse                         | 1.4.3-0.3.13          | 1.4.3-0.13.1              | x86_64
v | SLES11-SP1-Updates | gvfs-lang                         | 1.4.3-0.3.13          | 1.4.3-0.13.1              | x86_64
v | SLES11-SP1-Updates | hal                               | 0.5.12-23.40.5        | 0.5.12-23.47.4            | x86_64
v | SLES11-SP1-Updates | hal-32bit                         | 0.5.12-23.40.5        | 0.5.12-23.47.4            | x86_64
v | SLES11-SP1-Updates | hplip-hpijs                       | 3.9.8-3.5.1           | 3.11.10-0.6.7.1           | x86_64
v | SLES11-SP1-Updates | hwinfo                            | 15.33-0.2.19          | 15.33-0.4.26              | x86_64
v | SLES11-SP1-Updates | iproute2                          | 2.6.29.1-6.5.1        | 2.6.29.1-6.7.7.1          | x86_64
v | SLES11-SP1-Updates | iptables                          | 1.4.6-2.2.24          | 1.4.6-2.8.3.1             | x86_64
v | SLES11-SP1-Updates | iputils                           | ss021109-292.26.1     | ss021109-292.28.1         | x86_64
v | SLES11-SP1-Updates | irqbalance                        | 0.55-120.20.9         | 0.55-120.32.1             | x86_64
v | SLES11-SP1-Updates | kbd                               | 1.14.1-16.24.25       | 1.14.1-16.31.1            | x86_64
v | SLES11-SP1-Updates | kdump                             | 0.7.8-1.15.7          | 0.7.8-1.33.32.1           | x86_64
v | SLES11-SP1-Updates | kernel-default                    | 2.6.32.29-0.3.1       | 2.6.32.54-0.3.1           | x86_64
v | SLES11-SP1-Updates | kernel-default-base               | 2.6.32.29-0.3.1       | 2.6.32.54-0.3.1           | x86_64
v | SLES11-SP1-Updates | kernel-default-devel              | 2.6.32.29-0.3.1       | 2.6.32.54-0.3.1           | x86_64
v | SLES11-SP1-Updates | kernel-source                     | 2.6.32.29-0.3.1       | 2.6.32.54-0.3.1           | x86_64
v | SLES11-SP1-Updates | kexec-tools                       | 2.0.0-53.28.1         | 2.0.0-53.30.1             | x86_64
v | SLES11-SP1-Updates | klogd                             | 1.4.1-708.25.34       | 1.4.1-708.37.1            | x86_64
v | SLES11-SP1-Updates | kpartx                            | 0.4.8-40.25.1         | 0.4.8-40.44.1             | x86_64
v | SLES11-SP1-Updates | krb5                              | 1.6.3-133.46.1        | 1.6.3-133.48.48.1         | x86_64
v | SLES11-SP1-Updates | krb5-32bit                        | 1.6.3-133.46.1        | 1.6.3-133.48.48.1         | x86_64
v | SLES11-SP1-Updates | krb5-client                       | 1.6.3-133.46.1        | 1.6.3-133.48.48.1         | x86_64
v | SLES11-SP1-Updates | ksh                               | 93t-9.184.1           | 93u-0.6.1                 | x86_64
v | SLES11-SP1-Updates | libMagickCore1                    | 6.4.3.6-7.20.1        | 6.4.3.6-7.22.1            | x86_64
v | SLES11-SP1-Updates | libapparmor1                      | 2.3-51.14             | 2.3-51.16.1               | x86_64
v | SLES11-SP1-Updates | libapr-util1                      | 1.3.4-12.20.2         | 1.3.4-12.22.21.2          | x86_64
v | SLES11-SP1-Updates | libapr1                           | 1.3.3-11.16.1         | 1.3.3-11.18.19.1          | x86_64
v | SLES11-SP1-Updates | libasound2                        | 1.0.18-16.9.29        | 1.0.18-16.24.1            | x86_64
v | SLES11-SP1-Updates | libasound2-32bit                  | 1.0.18-16.9.29        | 1.0.18-16.24.1            | x86_64
v | SLES11-SP1-Updates | libaugeas0                        | 0.5.0-1.1.61          | 0.8.1-7.8.2               | x86_64
v | SLES11-SP1-Updates | libblkid1                         | 2.16-6.11.1           | 2.16-6.13.1               | x86_64
v | SLES11-SP1-Updates | libcap2                           | 2.11-2.15             | 2.11-2.17.1               | x86_64
v | SLES11-SP1-Updates | libcap2-32bit                     | 2.11-2.15             | 2.11-2.17.1               | x86_64
v | SLES11-SP1-Updates | libcurl4                          | 7.19.0-11.25.1        | 7.19.7-1.18.1             | x86_64
v | SLES11-SP1-Updates | libcurl4-32bit                    | 7.19.0-11.25.1        | 7.19.7-1.18.1             | x86_64
v | SLES11-SP1-Updates | libdrm                            | 2.4.17-0.3.12         | 2.4.21-2.2.15             | x86_64
v | SLES11-SP1-Updates | libdrm-32bit                      | 2.4.17-0.3.12         | 2.4.21-2.2.15             | x86_64
v | SLES11-SP1-Updates | libfprint0                        | 0.0.6-9.16            | 0.0.6-18.15.4             | x86_64
v | SLES11-SP1-Updates | libfreebl3                        | 3.12.8-1.2.1          | 3.13.1-0.2.1              | x86_64
v | SLES11-SP1-Updates | libfreebl3-32bit                  | 3.12.8-1.2.1          | 3.13.1-0.2.1              | x86_64
v | SLES11-SP1-Updates | libgnome-desktop-2-11             | 2.28.2-0.3.22         | 2.28.2-0.6.18             | x86_64
v | SLES11-SP1-Updates | libgnome-desktop-2-11-32bit       | 2.28.2-0.3.22         | 2.28.2-0.6.18             | x86_64
v | SLES11-SP1-Updates | libgnome-window-settings1         | 2.28.1-0.9.1          | 2.28.1-0.15.25            | x86_64
v | SLES11-SP1-Updates | libgnomesu                        | 1.0.0-307.5.12        | 1.0.0-307.10.1            | x86_64
v | SLES11-SP1-Updates | libgnomesu-lang                   | 1.0.0-307.5.12        | 1.0.0-307.10.1            | x86_64
v | SLES11-SP1-Updates | libgnomesu0                       | 1.0.0-307.5.12        | 1.0.0-307.10.1            | x86_64
v | SLES11-SP1-Updates | libgnutls26                       | 2.4.1-24.32.1         | 2.4.1-24.39.33.1          | x86_64
v | SLES11-SP1-Updates | libgnutls26-32bit                 | 2.4.1-24.32.1         | 2.4.1-24.39.33.1          | x86_64
v | SLES11-SP1-Updates | libgssglue1                       | 0.1-6.22              | 0.1-20.2.1                | x86_64
v | SLES11-SP1-Updates | libgvfscommon0                    | 1.4.3-0.3.13          | 1.4.3-0.13.1              | x86_64
v | SLES11-SP1-Updates | libicu                            | 4.0-7.24.11           | 4.0-7.26.1                | x86_64
v | SLES11-SP1-Updates | libjasper                         | 1.900.1-134.9         | 1.900.1-134.11.1          | x86_64
v | SLES11-SP1-Updates | libldap-2_4-2                     | 2.4.20-0.9.1          | 2.4.26-0.12.1             | x86_64
v | SLES11-SP1-Updates | libldap-2_4-2-32bit               | 2.4.20-0.9.1          | 2.4.26-0.12.1             | x86_64
v | SLES11-SP1-Updates | libmysqlclient15                  | 5.0.67-13.26.1        | 5.0.94-0.2.4.1            | x86_64
v | SLES11-SP1-Updates | libmysqlclient_r15                | 5.0.67-13.26.1        | 5.0.94-0.2.4.1            | x86_64
v | SLES11-SP1-Updates | libneon27                         | 0.28.3-2.12.1         | 0.29.6-6.7.1              | x86_64
v | SLES11-SP1-Updates | libnet                            | 1.1.2.1-140.22        | 1.1.2.1-140.24.1          | x86_64
v | SLES11-SP1-Updates | libnotify                         | 0.4.4-173.27.1        | 0.4.4-173.29.28.1         | x86_64
v | SLES11-SP1-Updates | libnotify1                        | 0.4.4-173.27.1        | 0.4.4-173.29.28.1         | x86_64
v | SLES11-SP1-Updates | libopenssl0_9_8                   | 0.9.8h-30.32.1        | 0.9.8j-0.28.1             | x86_64
v | SLES11-SP1-Updates | libopenssl0_9_8-32bit             | 0.9.8h-30.32.1        | 0.9.8j-0.28.1             | x86_64
v | SLES11-SP1-Updates | libpackagekit-glib10              | 0.3.14-2.12.105       | 0.3.14-2.14.5.1           | x86_64
v | SLES11-SP1-Updates | libpcap0                          | 0.9.8-50.4.80         | 0.9.8-50.6.2              | x86_64
v | SLES11-SP1-Updates | libpciaccess0                     | 7.4-8.24.2            | 7.4_0.11.0-0.4.6.1        | x86_64
v | SLES11-SP1-Updates | libpng12-0                        | 1.2.31-5.18.1         | 1.2.31-5.25.1             | x86_64
v | SLES11-SP1-Updates | libpng12-0-32bit                  | 1.2.31-5.18.1         | 1.2.31-5.25.1             | x86_64
v | SLES11-SP1-Updates | libpulse-browse0                  | 0.9.21-1.5.26         | 0.9.21-1.14.8             | x86_64
v | SLES11-SP1-Updates | libpulse-mainloop-glib0           | 0.9.21-1.5.26         | 0.9.21-1.14.8             | x86_64
v | SLES11-SP1-Updates | libpulse0                         | 0.9.21-1.5.26         | 0.9.21-1.14.8             | x86_64
v | SLES11-SP1-Updates | libpulse0-32bit                   | 0.9.21-1.5.26         | 0.9.21-1.14.8             | x86_64
v | SLES11-SP1-Updates | libpython2_6-1_0                  | 2.6.0-8.10.1          | 2.6.0-8.14.1              | x86_64
v | SLES11-SP1-Updates | libqt4                            | 4.6.2-1.6.9           | 4.6.3-5.12.1              | x86_64
v | SLES11-SP1-Updates | libqt4-32bit                      | 4.6.2-1.6.9           | 4.6.3-5.12.1              | x86_64
v | SLES11-SP1-Updates | libqt4-qt3support                 | 4.6.2-1.6.9           | 4.6.3-5.12.1              | x86_64
v | SLES11-SP1-Updates | libqt4-qt3support-32bit           | 4.6.2-1.6.9           | 4.6.3-5.12.1              | x86_64
v | SLES11-SP1-Updates | libqt4-sql                        | 4.6.2-1.6.9           | 4.6.3-5.12.1              | x86_64
v | SLES11-SP1-Updates | libqt4-sql-32bit                  | 4.6.2-1.6.9           | 4.6.3-5.12.1              | x86_64
v | SLES11-SP1-Updates | libqt4-sql-mysql                  | 4.6.2-1.6.11          | 4.6.3-5.10.1              | x86_64
v | SLES11-SP1-Updates | libqt4-x11                        | 4.6.2-1.6.9           | 4.6.3-5.12.1              | x86_64
v | SLES11-SP1-Updates | libqt4-x11-32bit                  | 4.6.2-1.6.9           | 4.6.3-5.12.1              | x86_64
v | SLES11-SP1-Updates | librsvg                           | 2.26.0-2.1.227        | 2.26.0-2.3.1              | x86_64
v | SLES11-SP1-Updates | librsvg-32bit                     | 2.26.0-2.1.227        | 2.26.0-2.3.1              | x86_64
v | SLES11-SP1-Updates | libslab-lang                      | 2.27.91-6.10.1        | 2.27.91-6.15.2            | x86_64
v | SLES11-SP1-Updates | libslab0                          | 2.27.91-6.10.1        | 2.27.91-6.15.2            | x86_64
v | SLES11-SP1-Updates | libsmbclient0                     | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | libsmbclient0-32bit               | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | libsndfile                        | 1.0.20-2.1.46         | 1.0.20-2.4.1              | x86_64
v | SLES11-SP1-Updates | libsndfile-32bit                  | 1.0.20-2.1.46         | 1.0.20-2.4.1              | x86_64
v | SLES11-SP1-Updates | libsnmp15                         | 5.4.2.1-8.5.1         | 5.4.2.1-8.12.6.1          | x86_64
v | SLES11-SP1-Updates | libsoup-2_4-1                     | 2.28.2-0.1.151        | 2.28.2-0.3.1              | x86_64
v | SLES11-SP1-Updates | libsoup-2_4-1-32bit               | 2.28.2-0.1.151        | 2.28.2-0.3.1              | x86_64
v | SLES11-SP1-Updates | libtalloc1                        | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | libtalloc1-32bit                  | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | libtdb1                           | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | libtdb1-32bit                     | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | libtiff3                          | 3.8.2-141.16.1        | 3.8.2-141.142.1           | x86_64
v | SLES11-SP1-Updates | libtiff3-32bit                    | 3.8.2-141.16.1        | 3.8.2-141.142.1           | x86_64
v | SLES11-SP1-Updates | libtirpc1                         | 0.2.1-1.3.1           | 0.2.1-1.5.1               | x86_64
v | SLES11-SP1-Updates | libuuid1                          | 2.16-6.11.1           | 2.16-6.13.1               | x86_64
v | SLES11-SP1-Updates | libuuid1-32bit                    | 2.16-6.11.1           | 2.16-6.13.1               | x86_64
v | SLES11-SP1-Updates | libwbclient0                      | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | libwbclient0-32bit                | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | libxcrypt                         | 3.0.3-0.1.50          | 3.0.3-0.6.1               | x86_64
v | SLES11-SP1-Updates | libxcrypt-32bit                   | 3.0.3-0.1.50          | 3.0.3-0.6.1               | x86_64
v | SLES11-SP1-Updates | libxml2                           | 2.7.6-0.7.1           | 2.7.6-0.13.1              | x86_64
v | SLES11-SP1-Updates | libxml2-32bit                     | 2.7.6-0.7.1           | 2.7.6-0.13.1              | x86_64
v | SLES11-SP1-Updates | libzypp                           | 6.35.3-0.3.1          | 6.37.5-0.5.6              | x86_64
v | SLES11-SP1-Updates | limal-ca-mgm                      | 1.5.22-0.2.15         | 1.5.23-0.3.2              | x86_64
v | SLES11-SP1-Updates | limal-ca-mgm-perl                 | 1.5.22-0.2.15         | 1.5.23-0.3.2              | x86_64
v | SLES11-SP1-Updates | logrotate                         | 3.7.7-10.22           | 3.7.7-10.24.1             | x86_64
v | SLES11-SP1-Updates | lvm2                              | 2.02.39-18.32.2       | 2.02.39-18.48.1           | x86_64
v | SLES11-SP1-Updates | man-pages                         | 3.15-2.8.28           | 3.15-2.14.1               | noarch
v | SLES11-SP1-Updates | mcelog                            | 1.0.2010.03.10-0.2.8  | 1.0.2010.03.10-0.4.1      | x86_64
v | SLES11-SP1-Updates | mdadm                             | 3.0.3-0.22.4          | 3.0.3-0.30.1              | x86_64
v | SLES11-SP1-Updates | microcode_ctl                     | 1.17-102.22.1         | 1.17-102.40.1             | x86_64
v | SLES11-SP1-Updates | mkinitrd                          | 2.4.1-0.14.1          | 2.4.1-0.16.16.1           | x86_64
v | SLES11-SP1-Updates | mozilla-nspr                      | 4.8.6-1.2.1           | 4.8.9-1.2.2.1             | x86_64
v | SLES11-SP1-Updates | mozilla-nspr-32bit                | 4.8.6-1.2.1           | 4.8.9-1.2.2.1             | x86_64
v | SLES11-SP1-Updates | mozilla-nss                       | 3.12.8-1.2.1          | 3.13.1-0.2.1              | x86_64
v | SLES11-SP1-Updates | mozilla-nss-32bit                 | 3.12.8-1.2.1          | 3.13.1-0.2.1              | x86_64
v | SLES11-SP1-Updates | mozilla-xulrunner191              | 1.9.1.18-0.2.1        | 1.9.1.19-0.2.1            | x86_64
v | SLES11-SP1-Updates | mozilla-xulrunner191-32bit        | 1.9.1.18-0.2.1        | 1.9.1.19-0.2.1            | x86_64
v | SLES11-SP1-Updates | mozilla-xulrunner191-gnomevfs     | 1.9.1.18-0.2.1        | 1.9.1.19-0.2.1            | x86_64
v | SLES11-SP1-Updates | mozilla-xulrunner191-translations | 1.9.1.18-0.2.1        | 1.9.1.19-0.2.1            | x86_64
v | SLES11-SP1-Updates | mozilla-xulrunner192              | 1.9.2.16-1.2.1        | 1.9.2.27-0.2.1            | x86_64
v | SLES11-SP1-Updates | mozilla-xulrunner192-translations | 1.9.2.16-1.2.1        | 1.9.2.27-0.2.1            | x86_64
v | SLES11-SP1-Updates | multipath-tools                   | 0.4.8-40.25.1         | 0.4.8-40.44.1             | x86_64
v | SLES11-SP1-Updates | mysql                             | 5.0.67-13.26.1        | 5.0.94-0.2.4.1            | x86_64
v | SLES11-SP1-Updates | mysql-client                      | 5.0.67-13.26.1        | 5.0.94-0.2.4.1            | x86_64
v | SLES11-SP1-Updates | nautilus                          | 2.28.4-1.6.8          | 2.28.4-1.10.1             | x86_64
v | SLES11-SP1-Updates | nautilus-32bit                    | 2.28.4-1.6.8          | 2.28.4-1.10.1             | x86_64
v | SLES11-SP1-Updates | nautilus-lang                     | 2.28.4-1.6.8          | 2.28.4-1.10.1             | x86_64
v | SLES11-SP1-Updates | net-tools                         | 1.60-725.23.24.39     | 1.60-725.30.1             | x86_64
v | SLES11-SP1-Updates | nfs-client                        | 1.2.1-2.10.1          | 1.2.1-2.18.1              | x86_64
v | SLES11-SP1-Updates | nfs-doc                           | 1.2.1-2.10.1          | 1.2.1-2.18.1              | x86_64
v | SLES11-SP1-Updates | notification-daemon               | 0.3.7-185.30.1        | 0.3.7-185.34.2            | x86_64
